"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"AggregatorHost","0","164","2203394654208","9740288","2600960","10936","C:\WINDOWS\System32\AggregatorHost.exe","Microsoft Corporation","0.203125","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","Microsoft (R) Aggregator Host","Microsoft? Windows? Operating System","Process","8",,"False",,"2632","Microsoft.Win32.SafeHandles.SafeProcessHandle","164","5652",".","0","","System.Diagnostics.ProcessModule (AggregatorHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","10936","10936","2600960","2600960","86696","86696","2691072","2691072","10735616","10735616","83746816","2203401969664","True","Normal","2600960","2600960","00:00:00.1406250","AggregatorHost","255","True","0","System.Diagnostics.ProcessStartInfo","26/10/2022 18:14:27",,"System.Diagnostics.ProcessThreadCollection","00:00:00.2031250","00:00:00.0625000","76431360","2203394654208","False",,,,"9740288","9740288",,
"ApplicationFrameHost","1","389","2203613065216","20373504","15314944","23928","C:\WINDOWS\system32\ApplicationFrameHost.exe","Microsoft Corporation","0.71875","10.0.22621.608 (WinBuild.160101.0800)","10.0.22621.608","Application Frame Host","Microsoft? Windows? Operating System","Process","8",,"False",,"2660","Microsoft.Win32.SafeHandles.SafeProcessHandle","389","2436",".","328374","Settings","System.Diagnostics.ProcessModule (ApplicationFrameHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","23928","23928","15314944","15314944","403592","403592","29667328","29667328","46071808","46071808","311980032","2203630202880","True","Normal","15314944","15314944","00:00:00.3906250","ApplicationFrameHost","255","True","1","System.Diagnostics.ProcessStartInfo","26/10/2022 18:17:15",,"System.Diagnostics.ProcessThreadCollection","00:00:00.7187500","00:00:00.3281250","294842368","2203613065216","False",,,,"20373504","20373504",,
"atom","1","630","37388446920704","23846912","100249600","28256","C:\Users\Capta\AppData\Local\atom\app-1.60.0\atom.exe","GitHub, Inc.","1.265625","1.60.0","1.60.0","Atom","Atom","Process","10",,"False",,"2688","Microsoft.Win32.SafeHandles.SafeProcessHandle","630","12220",".","0","","System.Diagnostics.ProcessModule (atom.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","28256","28256","100249600","100249600","946240","946240","227803136","227803136","237232128","237232128","778829824","37388469141504","True","AboveNormal","100249600","100249600","00:00:00.4062500","atom","255","True","1","System.Diagnostics.ProcessStartInfo","27/10/2022 07:29:47",,"System.Diagnostics.ProcessThreadCollection","00:00:01.2656250","00:00:00.8593750","756609024","37388446920704","False",,,,"23846912","23846912",,
"atom","1","733","2208111030272","22306816","158732288","35016","C:\Users\Capta\AppData\Local\atom\app-1.60.0\atom.exe","GitHub, Inc.","8.453125","1.60.0","1.60.0","Atom","Atom","Process","8",,"False",,"2556","Microsoft.Win32.SafeHandles.SafeProcessHandle","733","19048",".","2361546","MonkeyBusiness.txt ? C:\Users\Capta\github\Clowndustin ? Atom","System.Diagnostics.ProcessModule (atom.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","35016","35016","158732288","158732288","652344","652344","194125824","194125824","243126272","243126272","268898304","2212177055744","True","Normal","158732288","158732288","00:00:04.0312500","atom","255","True","1","System.Diagnostics.ProcessStartInfo","27/10/2022 07:29:46",,"System.Diagnostics.ProcessThreadCollection","00:00:08.4531250","00:00:04.4218750","497840128","2208111030272","False",,,,"22306816","22306816",,
"atom","1","280","2207947710464","10653696","84725760","19216","C:\Users\Capta\AppData\Local\atom\app-1.60.0\atom.exe","GitHub, Inc.","0.421875","1.60.0","1.60.0","Atom","Atom","Process","8",,"False",,"1940","Microsoft.Win32.SafeHandles.SafeProcessHandle","280","19132",".","0","","System.Diagnostics.ProcessModule (atom.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","19216","19216","84725760","84725760","456584","456584","89362432","89362432","136577024","136577024","273326080","2212181483520","True","Normal","84725760","84725760","00:00:00.1250000","atom","255","True","1","System.Diagnostics.ProcessStartInfo","27/10/2022 07:29:49",,"System.Diagnostics.ProcessThreadCollection","00:00:00.4218750","00:00:00.2968750","334520320","2207947710464","False",,,,"10653696","10653696",,
"atom","1","188","2203560820736","16580608","9609216","12960","C:\Users\Capta\AppData\Local\atom\app-1.60.0\atom.exe","GitHub, Inc.","0.015625","1.60.0","1.60.0","Atom","Atom","Process","8",,"False",,"1984","Microsoft.Win32.SafeHandles.SafeProcessHandle","188","22376",".","0","","System.Diagnostics.ProcessModule (atom.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","12960","12960","9609216","9609216","401144","401144","9723904","9723904","27455488","27455488","246587392","2203564810240","True","Normal","9609216","9609216","00:00:00.0156250","atom","255","True","1","System.Diagnostics.ProcessStartInfo","27/10/2022 07:29:47",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0156250","00:00:00","242597888","2203560820736","False",,,,"16580608","16580608",,
"atom","1","315","2203589251072","12201984","12607488","17880","C:\Users\Capta\AppData\Local\atom\app-1.60.0\atom.exe","GitHub, Inc.","0.28125","1.60.0","1.60.0","Atom","Atom","Process","8",,"False",,"904","Microsoft.Win32.SafeHandles.SafeProcessHandle","315","22836",".","0","","System.Diagnostics.ProcessModule (atom.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","17880","17880","12607488","12607488","450608","450608","13336576","13336576","37560320","37560320","281300992","2203599523840","True","Normal","12607488","12607488","00:00:00.1250000","atom","255","True","1","System.Diagnostics.ProcessStartInfo","27/10/2022 07:29:47",,"System.Diagnostics.ProcessThreadCollection","00:00:00.2812500","00:00:00.1562500","271028224","2203589251072","False",,,,"12201984","12201984",,
"atom","1","514","2208162897920","26198016","150233088","36176","C:\Users\Capta\AppData\Local\atom\app-1.60.0\atom.exe","GitHub, Inc.","5.359375","1.60.0","1.60.0","Atom","Atom","Process","4",,"False",,"1808","Microsoft.Win32.SafeHandles.SafeProcessHandle","514","24932",".","0","","System.Diagnostics.ProcessModule (atom.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","36176","36176","150233088","150233088","773648","773648","163627008","163627008","217473024","217473024","273326080","2212181483520","True","Idle","150233088","150233088","00:00:01","atom","255","True","1","System.Diagnostics.ProcessStartInfo","27/10/2022 07:29:47",,"System.Diagnostics.ProcessThreadCollection","00:00:05.3593750","00:00:04.3593750","549707776","2208162897920","False",,,,"26198016","26198016",,
"audiodg","0","447","2203714613248","22142976","230584320","22424","C:\WINDOWS\system32\AUDIODG.EXE","Microsoft Corporation","16.0625","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","Windows Audio Device Graph Isolation ","Microsoft? Windows? Operating System","Process","8",,"False",,"1708","Microsoft.Win32.SafeHandles.SafeProcessHandle","447","21700",".","0","","System.Diagnostics.ProcessModule (AUDIODG.EXE)","20172800","18964480","System.Diagnostics.ProcessModuleCollection","22424","22424","230584320","230584320","549376","549376","245161984","245161984","61018112","61018112","401686528","2203719909376","True","Normal","230584320","230584320","00:00:07.0312500","audiodg","255","True","0","System.Diagnostics.ProcessStartInfo","27/10/2022 20:36:54",,"System.Diagnostics.ProcessThreadCollection","00:00:16.0625000","00:00:09.0312500","396390400","2203714613248","False",,,,"22142976","22142976",,
"BackItUp","1","859","377909248","12853248","53534720","76656","C:\Program Files (x86)\Nero\Nero 2020\Nero BackItUp\BackItUp.exe","Nero AG","9.484375","22.0.1.26","22.0.1.26","Nero BackItUp","Nero BackItUp","Process","8",,"False",,"2292","Microsoft.Win32.SafeHandles.SafeProcessHandle","859","13420",".","0","","System.Diagnostics.ProcessModule (BackItUp.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","76656","76656","53534720","53534720","603744","603744","53854208","53854208","91893760","91893760","399138816","399138816","True","Normal","53534720","53534720","00:00:03.1562500","BackItUp","255","True","1","System.Diagnostics.ProcessStartInfo","26/10/2022 18:14:57",,"System.Diagnostics.ProcessThreadCollection","00:00:09.4843750","00:00:06.3281250","377909248","377909248","False",,,,"12853248","12853248",,
